{   1,   -4,   -3}  {NAN, NAN, NO_ROOTS } 
{   1,    9,    0}  {NAN, NAN, NO_ROOTS } 
{  -7,    4,   -6}  {NAN, NAN, NO_ROOTS } 
{  -5,   -4,   -2}  {NAN, NAN, NO_ROOTS } 
{  -9,    8,   -6}  {NAN, NAN, NO_ROOTS } 
{   3,   -7,    2}  {NAN, NAN, NO_ROOTS } 
{   1,    4,   -2}  {NAN, NAN, NO_ROOTS } 
{   1,    8,   -1}  {NAN, NAN, NO_ROOTS } 
{  -4,    6,    4}  {NAN, NAN, NO_ROOTS } 
{   8,   -9,   -6}  {NAN, NAN, NO_ROOTS } 
{   1,   -7,    8}  {NAN, NAN, NO_ROOTS } 
{   4,    6,    0}  {NAN, NAN, NO_ROOTS } 
{   5,    6,    2}  {NAN, NAN, NO_ROOTS } 
{  -6,    8,   -6}  {NAN, NAN, NO_ROOTS } 
{  -7,   -8,    2}  {NAN, NAN, NO_ROOTS } 
{   5,    0,    4}  {NAN, NAN, NO_ROOTS } 
{   4,    5,    1}  {NAN, NAN, NO_ROOTS } 
{   2,   -4,    0}  {NAN, NAN, NO_ROOTS } 
{   7,    2,    7}  {NAN, NAN, NO_ROOTS } 
{  -3,    0,    6}  {NAN, NAN, NO_ROOTS } 
{   7,   -6,    0}  {NAN, NAN, NO_ROOTS } 
{  -8,    2,    0}  {NAN, NAN, NO_ROOTS } 
{  -6,   -8,   -3}  {NAN, NAN, NO_ROOTS } 
{  -5,   -7,    0}  {NAN, NAN, NO_ROOTS } 
{   6,   -9,   -4}  {NAN, NAN, NO_ROOTS } 
{  -3,   -7,   -1}  {NAN, NAN, NO_ROOTS } 
{   0,   -9,    7}  {NAN, NAN, NO_ROOTS } 
{   1,    0,    0}  {NAN, NAN, NO_ROOTS } 
{   0,   -5,   -9}  {NAN, NAN, NO_ROOTS } 
{   3,    0,   -6}  {NAN, NAN, NO_ROOTS } 
{   2,    5,    0}  {NAN, NAN, NO_ROOTS } 
{   5,    6,    0}  {NAN, NAN, NO_ROOTS } 
{  -2,   -2,    9}  {NAN, NAN, NO_ROOTS } 
{   8,    4,   -6}  {NAN, NAN, NO_ROOTS } 
{  -4,   -3,    5}  {NAN, NAN, NO_ROOTS } 
{  -6,    3,    1}  {NAN, NAN, NO_ROOTS } 
{   0,    3,   -1}  {NAN, NAN, NO_ROOTS } 
